Spending,Income,Debt,Region,Location
8909,56697.44625,23179.87743,1,1
5684,35945.48515,7051.876096,1,1
10706,52686.83038,16148.83537,1,1
14112,74041.20894,21839.15718,1,1
13855,63181.85241,18865.96216,1,1
15619,79064.46414,21899.11562,1,1
2694,25980.53596,8773.504092,1,1
9127,57424.00632,15766.16204,1,1
13514,72045.24779,27685.43011,1,1
6314,38046.29286,8544.843906,1,1
7622,52407.75423,28057.20193,1,1
4322,41405.2444,6997.670212,1,1
3805,29683.9802,4805.523065,1,1
6674,49246.07553,13591.61361,1,1
7347,41491.42241,4088.014762,1,1
2911,26702.75661,15876.06654,1,1
8026,48752.82641,16713.58611,1,1
8567,55555.47674,16783.26477,1,1
10345,71483.38358,21407.24952,1,1
8694,50979.57753,19113.8222,1,1
8821,46403.10307,7816.686056,1,1
8678,51927.35435,14414.56883,1,1
14331,84769.05709,17295.46945,1,1
9619,59061.87099,16686.93791,1,1
9286,57952.26586,14161.10059,1,1
8206,58354.71864,19538.04464,1,1
16408,81694.33174,15186.94241,1,1
12757,69522.40271,14651.12497,1,1
17740,96132.20204,0,1,1
7739,57796.02662,22057.12896,1,1
15383,88276.01409,1895.859682,1,1
4579,32263.6255,7979.470803,1,1
11679,65928.43207,0,1,1
12877,69924.10605,27329.74259,1,1
16232,91108.07145,9875.766195,1,1
9621,54070.31224,19907.52343,1,1
8171,47238.25443,17818.88365,1,1
12128,77426.52219,31339.79568,1,1
8642,59805.43772,4962.584867,1,1
12400,60333.72496,6632.485351,1,1
9185,54113.94699,18592.81816,1,2
7862,40680.38733,15201.741,1,2
9775,58262.71907,1485.632097,1,2
6771,52008.35281,21713.25694,1,2
3059,39642.72888,12179.35606,1,2
13211,70309.28732,13220.75128,1,2
7408,46450.12394,5602.459864,1,2
11581,76139.51734,33874.28457,1,2
14233,80832.6902,11477.90932,1,2
3352,31898.75325,2762.360932,1,2
2630,21646.61181,2663.435668,1,2
9093,65924.37002,11355.44586,1,2
12652,65922.59999,5132.342053,1,2
9559,62810.6206,12613.18609,1,2
6112,42334.85046,3149.188856,1,2
10431,65133.82929,15195.95777,1,2
12630,64620.69635,21433.20079,1,2
4578,36553.15944,5501.778801,1,2
9551,62909.65027,11375.7617,1,2
10262,70726.87604,13286.5839,1,2
9551,57633.93928,11856.50923,2,1
10143,56549.00067,16135.97052,2,1
8955,59661.78509,11627.33587,2,1
10197,57349.57328,18432.04224,2,1
11234,56446.89238,10870.61697,2,1
9320,61135.77413,0,2,1
9089,51525.86495,4901.739671,2,1
12300,79979.42612,17269.85237,2,1
11484,66733.30506,15145.10565,2,1
11215,75359.17934,15610.72146,2,1
7204,40794.62779,8975.46215,2,1
5579,39128.25271,6575.75615,2,1
11723,75482.08481,12508.46465,2,1
9353,63998.15386,0,2,1
7761,45844.89139,6670.595297,2,1
4261,38223.07674,8576.293914,2,1
9830,66787.03378,1177.76814,2,1
12386,77852.1868,935.7034827,2,1
8673,55824.57391,14167.09189,2,1
10944,57022.4678,9017.560123,2,1
9910,64262.57197,12767.61035,2,1
9928,75881.3009,17423.19661,2,1
4264,34342.9429,21322.87115,2,1
7971,41242.56417,21008.91358,2,1
8290,53021.45953,20150.55521,2,1
12669,66990.71575,9250.053142,2,1
7272,49719.33789,20837.90584,2,1
9784,58398.57426,16064.52521,2,1
9187,50477.13234,9406.823855,2,1
5866,39111.64534,20409.28372,2,1
9456,51886.46947,11668.01645,2,2
6270,34796.96768,146.4561456,2,2
9518,62348.20504,5201.077115,2,2
10968,78703.75975,17001.82771,2,2
8865,53620.147,32003.74955,2,2
9226,51576.65512,15921.6777,2,2
4913,34760.86056,17704.16226,2,2
6976,60967.58984,17798.87476,2,2
8152,51281.07992,8167.325873,2,2
2887,25013.02341,18763.43937,2,2
8062,59238.25443,10814.52389,2,2
8895,47343.72338,11814.30868,2,2
8444,52645.28136,22469.19827,2,2
6148,35308.65421,17138.74077,2,2
4563,34354.77316,10612.38869,2,2
8185,50629.70008,21186.81074,3,1
3391,29056.28884,15734.82201,3,1
7436,48721.00716,18363.10254,3,1
9522,50459.15385,16477.91329,3,1
11290,72805.40578,21237.87887,3,1
10403,56954.46594,22217.56382,3,1
4693,39342.52284,24696.49395,3,1
5626,38833.49685,14370.62544,3,1
11869,55020.57901,35575.72178,3,1
13055,77605.05145,816.971592,3,1
8783,57936.86351,18591.28339,3,1
13031,63343.05923,25530.80755,3,1
3681,36478.95149,17950.37384,3,1
5549,40381.19874,14256.74533,3,1
4108,26308.87373,26580.50086,3,1
6314,41421.02064,22470.00545,3,1
7700,54578.55084,29064.87658,3,1
7479,40551.44753,31756.84448,3,1
9093,50368.71325,6403.633747,3,1
9863,54422.01659,24333.75336,3,1
8043,51835.92985,26212.7012,3,2
9552,73599.95854,36373.93981,3,2
9286,51873.03248,29631.33262,3,2
7987,48003.4904,17261.3634,3,2
3875,36519.19211,13578.50103,3,2
10746,75151.57242,10658.65923,3,2
6888,44974.07887,23710.90865,3,2
5479,48922.53305,4593.511917,3,2
6949,43768.63343,21221.37154,3,2
10650,75947.42063,33357.10041,3,2
5188,41423.13094,33641.3175,3,2
5311,40189.04715,17791.17817,3,2
4691,36771.76432,5828.673934,3,2
8056,59689.97711,19594.01267,3,2
11304,53653.80592,23066.12238,3,2
8112,59066.58001,240.3879126,3,2
8696,65961.53427,0,3,2
5869,37254.18093,10157.27754,3,2
3776,33568.03655,14143.11534,3,2
11829,56933.53614,0,3,2
13087,88822.23915,17565.362,4,1
10986,59635.37247,27863.47956,4,1
5762,38406.7949,18866.72386,4,1
11617,78627.10522,11893.7303,4,1
9895,47709.70349,22929.67544,4,1
16293,64442.69745,31687.22266,4,1
8185,58870.93488,35424.01806,4,1
13972,87954.08141,11549.25918,4,1
11243,54778.16536,12551.54508,4,1
4635,39825.42519,19494.35479,4,1
10063,49536.07479,12194.65936,4,1
8426,60101.96514,13787.11637,4,1
7436,49138.51509,22356.09124,4,1
11747,51051.58738,4552.948453,4,1
15397,70500.43468,12025.12955,4,1
6842,54894.36272,16217.10432,4,1
9678,60570.24472,4106.34108,4,1
12852,57625.31557,31227.79141,4,1
10114,56955.55839,25907.2474,4,1
8496,61399.95707,1092.548487,4,1
6689,50531.56703,17106.08991,4,1
15696,72774.11689,17793.48601,4,1
9841,69981.13137,21606.70171,4,1
12529,66891.02662,17688.75769,4,1
10210,67431.12513,19994.96341,4,1
8868,64781.74798,14488.97343,4,1
6426,38986.99782,17863.50573,4,1
11096,64866.78309,5839.451446,4,1
10086,50421.10324,8688.830135,4,1
2587,27075.53597,17534.48465,4,1
12492,51784.27293,20284.05767,4,2
8456,54135.06644,22037.04049,4,2
6801,53291.11117,23342.24497,4,2
6339,49804.33813,34943.07727,4,2
7802,52205.49168,28579.29736,4,2
9717,72840.56114,22348.78117,4,2
6026,46237.90922,20165.20945,4,2
5618,45938.12901,10537.74191,4,2
10217,77715.89617,18516.26145,4,2
8338,59710.96205,7980.379237,4,2
9048,42105.985,19785.85921,4,2
4017,36461.89482,9935.383573,4,2
10906,53403.28148,18176.83803,4,2
15148,71290.42112,6695.558809,4,2
8830,66758.85679,20972.16999,4,2
8481,57615.6289,28766.76696,4,2
11358,76220.62205,1372.991178,4,2
10553,78201.76413,5919.805303,4,2
6969,55163.62777,24795.41287,4,2
13219,61171.15522,21482.32831,4,2
3543,34092.76151,25969.00209,4,2
7326,50647.04977,10749.64281,4,2
8458,59897.97035,22939.6344,4,2
11766,52884.08046,25969.9798,4,2
9908,73628.50404,7111.834534,4,2
