,INDEX,TARGET_WINS,TEAM_BATTING_H,TEAM_BATTING_2B,TEAM_BATTING_3B,TEAM_BATTING_HR,TEAM_BATTING_BB,TEAM_BATTING_SO,TEAM_BASERUN_SB,TEAM_BASERUN_CS,TEAM_BATTING_HBP,TEAM_PITCHING_H,TEAM_PITCHING_HR,TEAM_PITCHING_BB,TEAM_PITCHING_SO,TEAM_FIELDING_E,TEAM_FIELDING_DP
0,1.0,39.0,1445.0,194.0,39.0,13.0,143.0,842.0,,,,9364.0,84.0,927.0,5456.0,1011.0,
1,2.0,70.0,1339.0,219.0,22.0,190.0,685.0,1075.0,37.0,28.0,,1347.0,191.0,689.0,1082.0,193.0,155.0
2,3.0,86.0,1377.0,232.0,35.0,137.0,602.0,917.0,46.0,27.0,,1377.0,137.0,602.0,917.0,175.0,153.0
3,4.0,70.0,1387.0,209.0,38.0,96.0,451.0,922.0,43.0,30.0,,1396.0,97.0,454.0,928.0,164.0,156.0
4,5.0,82.0,1297.0,186.0,27.0,102.0,472.0,920.0,49.0,39.0,,1297.0,102.0,472.0,920.0,138.0,168.0
5,6.0,75.0,1279.0,200.0,36.0,92.0,443.0,973.0,107.0,59.0,,1279.0,92.0,443.0,973.0,123.0,149.0
6,7.0,80.0,1244.0,179.0,54.0,122.0,525.0,1062.0,80.0,54.0,,1244.0,122.0,525.0,1062.0,136.0,186.0
7,8.0,85.0,1273.0,171.0,37.0,115.0,456.0,1027.0,40.0,36.0,,1281.0,116.0,459.0,1033.0,112.0,136.0
8,11.0,86.0,1391.0,197.0,40.0,114.0,447.0,922.0,69.0,27.0,,1391.0,114.0,447.0,922.0,127.0,169.0
9,12.0,76.0,1271.0,213.0,18.0,96.0,441.0,827.0,72.0,34.0,,1271.0,96.0,441.0,827.0,131.0,159.0
10,13.0,78.0,1305.0,179.0,27.0,82.0,374.0,888.0,60.0,39.0,,1364.0,86.0,391.0,928.0,119.0,141.0
11,15.0,68.0,1372.0,203.0,31.0,95.0,509.0,801.0,119.0,79.0,,1372.0,95.0,509.0,801.0,147.0,150.0
12,16.0,72.0,1332.0,196.0,41.0,55.0,597.0,816.0,221.0,109.0,,1340.0,55.0,601.0,821.0,185.0,165.0
13,17.0,76.0,1265.0,210.0,23.0,63.0,534.0,812.0,126.0,80.0,,1265.0,63.0,534.0,812.0,150.0,139.0
14,18.0,74.0,1380.0,233.0,40.0,131.0,542.0,880.0,159.0,89.0,,1380.0,131.0,542.0,880.0,147.0,137.0
15,19.0,87.0,1417.0,226.0,28.0,108.0,539.0,682.0,86.0,69.0,,1417.0,108.0,539.0,682.0,136.0,136.0
16,20.0,88.0,1563.0,242.0,43.0,164.0,589.0,843.0,100.0,53.0,,1563.0,164.0,589.0,843.0,135.0,172.0
17,21.0,66.0,1460.0,239.0,32.0,107.0,546.0,900.0,92.0,64.0,,1478.0,108.0,553.0,911.0,136.0,146.0
18,22.0,75.0,1390.0,197.0,24.0,143.0,579.0,841.0,65.0,49.0,,2047.0,211.0,853.0,1239.0,149.0,177.0
19,23.0,93.0,1518.0,268.0,26.0,186.0,613.0,760.0,55.0,53.0,,1518.0,186.0,613.0,760.0,106.0,171.0
20,24.0,70.0,1467.0,241.0,22.0,154.0,509.0,835.0,41.0,39.0,,1467.0,154.0,509.0,835.0,154.0,190.0
21,25.0,81.0,1363.0,211.0,30.0,150.0,556.0,928.0,80.0,51.0,,1363.0,150.0,556.0,928.0,128.0,170.0
22,26.0,90.0,1364.0,215.0,31.0,153.0,648.0,902.0,106.0,51.0,,1364.0,153.0,648.0,902.0,112.0,202.0
23,27.0,92.0,1387.0,236.0,36.0,167.0,671.0,860.0,109.0,42.0,,1387.0,167.0,671.0,860.0,107.0,156.0
24,28.0,75.0,1406.0,257.0,26.0,172.0,590.0,926.0,125.0,44.0,,1406.0,172.0,590.0,926.0,117.0,162.0
25,29.0,75.0,1458.0,258.0,31.0,124.0,469.0,819.0,86.0,52.0,,1458.0,124.0,469.0,819.0,135.0,175.0
